指标,年份,数值,省份
全体居民人均可支配收入 (元) ,2021年,35705.0,山东省
城镇居民人均可支配收入 (元) ,2021年,47066.0,山东省
农村居民人均可支配收入 (元) ,2021年,20794.0,山东省
全体居民人均可支配收入 (元) ,2025年,,山西省
城镇居民人均可支配收入 (元) ,2025年,,山西省
农村居民人均可支配收入 (元) ,2025年,,山西省
全体居民人均可支配收入 (元) ,2024年,32441.0,山西省
城镇居民人均可支配收入 (元) ,2024年,43036.0,山西省
农村居民人均可支配收入 (元) ,2024年,18741.0,山西省
全体居民人均可支配收入 (元) ,2023年,30924.0,山西省
城镇居民人均可支配收入 (元) ,2023年,41327.0,山西省
农村居民人均可支配收入 (元) ,2023年,17677.0,山西省
全体居民人均可支配收入 (元) ,2022年,29178.0,山西省
城镇居民人均可支配收入 (元) ,2022年,39532.0,山西省
农村居民人均可支配收入 (元) ,2022年,16323.0,山西省
全体居民人均可支配收入 (元) ,2021年,27426.0,山西省
城镇居民人均可支配收入 (元) ,2021年,37433.0,山西省
农村居民人均可支配收入 (元) ,2021年,15308.0,山西省
全体居民人均可支配收入 (元) ,2025年,,广东省
城镇居民人均可支配收入 (元) ,2025年,,广东省
农村居民人均可支配收入 (元) ,2025年,,广东省
全体居民人均可支配收入 (元) ,2024年,51474.0,广东省
城镇居民人均可支配收入 (元) ,2024年,61629.0,广东省
农村居民人均可支配收入 (元) ,2024年,26729.0,广东省
全体居民人均可支配收入 (元) ,2023年,49327.0,广东省
城镇居民人均可支配收入 (元) ,2023年,59307.0,广东省
农村居民人均可支配收入 (元) ,2023年,25142.0,广东省
全体居民人均可支配收入 (元) ,2022年,47065.0,广东省
城镇居民人均可支配收入 (元) ,2022年,56905.0,广东省
农村居民人均可支配收入 (元) ,2022年,23598.0,广东省
全体居民人均可支配收入 (元) ,2021年,44993.0,广东省
城镇居民人均可支配收入 (元) ,2021年,54854.0,广东省
农村居民人均可支配收入 (元) ,2021年,22306.0,广东省
全体居民人均可支配收入 (元) ,2025年,,广西壮族自治区
城镇居民人均可支配收入 (元) ,2025年,,广西壮族自治区
农村居民人均可支配收入 (元) ,2025年,,广西壮族自治区
