指标,年份,数值,省份
全体居民人均可支配收入 (元),2022,23273.0,甘肃省
城镇居民人均可支配收入 (元),2022,37572.0,甘肃省
农村居民人均可支配收入 (元),2022,12165.0,甘肃省
全体居民人均可支配收入 (元),2021,22066.0,甘肃省
城镇居民人均可支配收入 (元),2021,36187.0,甘肃省
农村居民人均可支配收入 (元),2021,11433.0,甘肃省
全体居民人均可支配收入 (元),2024,47857.0,福建省
城镇居民人均可支配收入 (元),2024,58763.0,福建省
农村居民人均可支配收入 (元),2024,28525.0,福建省
全体居民人均可支配收入 (元),2023,45426.0,福建省
城镇居民人均可支配收入 (元),2023,56153.0,福建省
农村居民人均可支配收入 (元),2023,26722.0,福建省
全体居民人均可支配收入 (元),2022,43118.0,福建省
城镇居民人均可支配收入 (元),2022,53817.0,福建省
农村居民人均可支配收入 (元),2022,24987.0,福建省
全体居民人均可支配收入 (元),2021,40659.0,福建省
城镇居民人均可支配收入 (元),2021,51140.0,福建省
农村居民人均可支配收入 (元),2021,23229.0,福建省
全体居民人均可支配收入 (元),2024,31358.0,西藏自治区
城镇居民人均可支配收入 (元),2024,55444.0,西藏自治区
农村居民人均可支配收入 (元),2024,21578.0,西藏自治区
全体居民人均可支配收入 (元),2023,28983.0,西藏自治区
城镇居民人均可支配收入 (元),2023,51900.0,西藏自治区
农村居民人均可支配收入 (元),2023,19924.0,西藏自治区
全体居民人均可支配收入 (元),2022,26675.0,西藏自治区
城镇居民人均可支配收入 (元),2022,48753.0,西藏自治区
农村居民人均可支配收入 (元),2022,18209.0,西藏自治区
全体居民人均可支配收入 (元),2021,24950.0,西藏自治区
城镇居民人均可支配收入 (元),2021,46503.0,西藏自治区
农村居民人均可支配收入 (元),2021,16932.0,西藏自治区
全体居民人均可支配收入 (元),2024,28561.0,贵州省
城镇居民人均可支配收入 (元),2024,44558.0,贵州省
农村居民人均可支配收入 (元),2024,15856.0,贵州省
全体居民人均可支配收入 (元),2023,27098.0,贵州省
城镇居民人均可支配收入 (元),2023,42772.0,贵州省
农村居民人均可支配收入 (元),2023,14817.0,贵州省
全体居民人均可支配收入 (元),2022,25508.0,贵州省
城镇居民人均可支配收入 (元),2022,41086.0,贵州省
农村居民人均可支配收入 (元),2022,13707.0,贵州省
全体居民人均可支配收入 (元),2021,23996.0,贵州省
城镇居民人均可支配收入 (元),2021,39211.0,贵州省
农村居民人均可支配收入 (元),2021,12856.0,贵州省
全体居民人均可支配收入 (元),2024,39844.0,辽宁省
城镇居民人均可支配收入 (元),2024,47982.0,辽宁省
农村居民人均可支配收入 (元),2024,22744.0,辽宁省
全体居民人均可支配收入 (元),2023,37992.0,辽宁省
城镇居民人均可支配收入 (元),2023,45896.0,辽宁省
农村居民人均可支配收入 (元),2023,21483.0,辽宁省
