指标,年份,数值,省份
城镇居民人均消费支出 (元) ,2022,26089.0,山西省
农村居民人均消费支出 (元) ,2022,14626.0,山西省
全体居民人均消费支出 (元) ,2023,19756.0,山西省
城镇居民人均消费支出 (元) ,2023,24524.0,山西省
农村居民人均消费支出 (元) ,2023,13684.0,山西省
全体居民人均消费支出 (元) ,2024,17537.0,山西省
城镇居民人均消费支出 (元) ,2024,21923.0,山西省
农村居民人均消费支出 (元) ,2024,12091.0,山西省
全体居民人均消费支出 (元) ,2025,17191.0,山西省
城镇居民人均消费支出 (元) ,2025,21965.0,山西省
农村居民人均消费支出 (元) ,2025,11410.0,山西省
全体居民人均消费支出 (元) ,2021,,广东省
城镇居民人均消费支出 (元) ,2021,,广东省
农村居民人均消费支出 (元) ,2021,,广东省
全体居民人均消费支出 (元) ,2022,35818.0,广东省
城镇居民人均消费支出 (元) ,2022,41055.0,广东省
农村居民人均消费支出 (元) ,2022,23057.0,广东省
全体居民人均消费支出 (元) ,2023,34331.0,广东省
城镇居民人均消费支出 (元) ,2023,39333.0,广东省
农村居民人均消费支出 (元) ,2023,22209.0,广东省
全体居民人均消费支出 (元) ,2024,32169.0,广东省
城镇居民人均消费支出 (元) ,2024,36936.0,广东省
农村居民人均消费支出 (元) ,2024,20800.0,广东省
全体居民人均消费支出 (元) ,2025,31589.0,广东省
城镇居民人均消费支出 (元) ,2025,36621.0,广东省
农村居民人均消费支出 (元) ,2025,20012.0,广东省
全体居民人均消费支出 (元) ,2021,,广西壮族自治区
城镇居民人均消费支出 (元) ,2021,,广西壮族自治区
农村居民人均消费支出 (元) ,2021,,广西壮族自治区
全体居民人均消费支出 (元) ,2022,21150.0,广西壮族自治区
城镇居民人均消费支出 (元) ,2022,26084.0,广西壮族自治区
农村居民人均消费支出 (元) ,2022,16525.0,广西壮族自治区
全体居民人均消费支出 (元) ,2023,19749.0,广西壮族自治区
城镇居民人均消费支出 (元) ,2023,24427.0,广西壮族自治区
农村居民人均消费支出 (元) ,2023,15435.0,广西壮族自治区
全体居民人均消费支出 (元) ,2024,18343.0,广西壮族自治区
城镇居民人均消费支出 (元) ,2024,22438.0,广西壮族自治区
农村居民人均消费支出 (元) ,2024,14658.0,广西壮族自治区
全体居民人均消费支出 (元) ,2025,18088.0,广西壮族自治区
城镇居民人均消费支出 (元) ,2025,22555.0,广西壮族自治区
农村居民人均消费支出 (元) ,2025,14165.0,广西壮族自治区
全体居民人均消费支出 (元) ,2021,,新疆维吾尔自治区
城镇居民人均消费支出 (元) ,2021,,新疆维吾尔自治区
农村居民人均消费支出 (元) ,2021,,新疆维吾尔自治区
全体居民人均消费支出 (元) ,2022,21364.0,新疆维吾尔自治区
城镇居民人均消费支出 (元) ,2022,28248.0,新疆维吾尔自治区
农村居民人均消费支出 (元) ,2022,14738.0,新疆维吾尔自治区
全体居民人均消费支出 (元) ,2023,19715.0,新疆维吾尔自治区
城镇居民人均消费支出 (元) ,2023,26134.0,新疆维吾尔自治区
农村居民人均消费支出 (元) ,2023,13645.0,新疆维吾尔自治区
全体居民人均消费支出 (元) ,2024,17927.0,新疆维吾尔自治区
城镇居民人均消费支出 (元) ,2024,24142.0,新疆维吾尔自治区
农村居民人均消费支出 (元) ,2024,12169.0,新疆维吾尔自治区
全体居民人均消费支出 (元) ,2025,18961.0,新疆维吾尔自治区
城镇居民人均消费支出 (元) ,2025,25724.0,新疆维吾尔自治区
农村居民人均消费支出 (元) ,2025,12821.0,新疆维吾尔自治区
全体居民人均消费支出 (元) ,2021,,江苏省
城镇居民人均消费支出 (元) ,2021,,江苏省
农村居民人均消费支出 (元) ,2021,,江苏省
全体居民人均消费支出 (元) ,2022,37346.0,江苏省
城镇居民人均消费支出 (元) ,2022,42197.0,江苏省
农村居民人均消费支出 (元) ,2022,26975.0,江苏省
全体居民人均消费支出 (元) ,2023,35491.0,江苏省
城镇居民人均消费支出 (元) ,2023,40461.0,江苏省
农村居民人均消费支出 (元) ,2023,25029.0,江苏省
全体居民人均消费支出 (元) ,2024,32848.0,江苏省
城镇居民人均消费支出 (元) ,2024,37796.0,江苏省
农村居民人均消费支出 (元) ,2024,22597.0,江苏省
全体居民人均消费支出 (元) ,2025,31451.0,江苏省
城镇居民人均消费支出 (元) ,2025,36558.0,江苏省
农村居民人均消费支出 (元) ,2025,21130.0,江苏省
全体居民人均消费支出 (元) ,2021,,江西省
城镇居民人均消费支出 (元) ,2021,,江西省
农村居民人均消费支出 (元) ,2021,,江西省
全体居民人均消费支出 (元) ,2022,24726.0,江西省
城镇居民人均消费支出 (元) ,2022,29070.0,江西省
农村居民人均消费支出 (元) ,2022,19692.0,江西省
全体居民人均消费支出 (元) ,2023,23379.0,江西省
城镇居民人均消费支出 (元) ,2023,27733.0,江西省
农村居民人均消费支出 (元) ,2023,18421.0,江西省
全体居民人均消费支出 (元) ,2024,21708.0,江西省
城镇居民人均消费支出 (元) ,2024,25976.0,江西省
农村居民人均消费支出 (元) ,2024,16984.0,江西省
全体居民人均消费支出 (元) ,2025,20290.0,江西省
城镇居民人均消费支出 (元) ,2025,24587.0,江西省
农村居民人均消费支出 (元) ,2025,15663.0,江西省
全体居民人均消费支出 (元) ,2021,,河北省
城镇居民人均消费支出 (元) ,2021,,河北省
农村居民人均消费支出 (元) ,2021,,河北省
全体居民人均消费支出 (元) ,2022,24253.0,河北省
城镇居民人均消费支出 (元) ,2022,29310.0,河北省
农村居民人均消费支出 (元) ,2022,18412.0,河北省
全体居民人均消费支出 (元) ,2023,22920.0,河北省
城镇居民人均消费支出 (元) ,2023,27906.0,河北省
农村居民人均消费支出 (元) ,2023,17244.0,河北省
全体居民人均消费支出 (元) ,2024,20890.0,河北省
城镇居民人均消费支出 (元) ,2024,25071.0,河北省
农村居民人均消费支出 (元) ,2024,16271.0,河北省
全体居民人均消费支出 (元) ,2025,19954.0,河北省
城镇居民人均消费支出 (元) ,2025,24192.0,河北省
农村居民人均消费支出 (元) ,2025,15391.0,河北省
全体居民人均消费支出 (元) ,2021,,河南省
城镇居民人均消费支出 (元) ,2021,,河南省
农村居民人均消费支出 (元) ,2021,,河南省
全体居民人均消费支出 (元) ,2022,21956.0,河南省
城镇居民人均消费支出 (元) ,2022,26507.0,河南省
农村居民人均消费支出 (元) ,2022,17515.0,河南省
全体居民人均消费支出 (元) ,2023,21011.0,河南省
城镇居民人均消费支出 (元) ,2023,25570.0,河南省
农村居民人均消费支出 (元) ,2023,16638.0,河南省
全体居民人均消费支出 (元) ,2024,19019.0,河南省
城镇居民人均消费支出 (元) ,2024,23539.0,河南省
农村居民人均消费支出 (元) ,2024,14824.0,河南省
全体居民人均消费支出 (元) ,2025,18391.0,河南省
城镇居民人均消费支出 (元) ,2025,23178.0,河南省
农村居民人均消费支出 (元) ,2025,14073.0,河南省
全体居民人均消费支出 (元) ,2021,,浙江省
城镇居民人均消费支出 (元) ,2021,,浙江省
农村居民人均消费支出 (元) ,2021,,浙江省
全体居民人均消费支出 (元) ,2022,45107.0,浙江省
城镇居民人均消费支出 (元) ,2022,50704.0,浙江省
农村居民人均消费支出 (元) ,2022,33043.0,浙江省
全体居民人均消费支出 (元) ,2023,42194.0,浙江省
城镇居民人均消费支出 (元) ,2023,47762.0,浙江省
农村居民人均消费支出 (元) ,2023,30468.0,浙江省
全体居民人均消费支出 (元) ,2024,38971.0,浙江省
城镇居民人均消费支出 (元) ,2024,44511.0,浙江省
农村居民人均消费支出 (元) ,2024,27483.0,浙江省
全体居民人均消费支出 (元) ,2025,36668.0,浙江省
城镇居民人均消费支出 (元) ,2025,42193.0,浙江省
农村居民人均消费支出 (元) ,2025,25415.0,浙江省
全体居民人均消费支出 (元) ,2021,,海南省
城镇居民人均消费支出 (元) ,2021,,海南省
农村居民人均消费支出 (元) ,2021,,海南省
